state,district,market,crops,date,minimum_price,maximum_price,modal_price
Andaman and Nicobar,nicobar,car nicobar,onion,25-08-2024,60,70,50
Andaman and Nicobar,nicobar,car nicobar,potato,25-08-2024,60,80,70
Andaman and Nicobar,north and middle andaman,mayabandar,ginger,25-08-2024,2,4,3
Andaman and Nicobar,north and middle andaman,diglipur,tomato,25-08-2024,100,140,130
Andhra Pradesh,kurnool,kunool,onion,25-08-2024,36.41,50,29.19
Andhra Pradesh,chittor,palamaner,potato,25-08-2024,20,30,25
Andhra Pradesh,chittoor,chittoor,mango,25-08-2024,25,35,30
Andhra Pradesh,chittor,palamaner,tomato,25-08-2024,21,25,23
Bihar,patna,danapur,onion,25-08-2024,38,40,39
Bihar,patna,danapur,potato,25-08-2024,36,50,38
Chandigarh,chandigrah,"chandigarh(grain,fruits)",onion,25-08-2024,20,40,30
Chandigarh,chandigrah,chandigarh(grain\fruit),potato,25-08-2024,20,40,35
Chandigarh,chandigarh,chandigarh,ginger,25-08-2024,30,50,35
Chandigarh,chandigarh,chandigarh,apple,25-08-2024,30,100,80
Chandigarh,chandigarh,chandigarh (grain/fruit),peas wet,25-08-2024,50,80,60
Chandigarh,chandigarh,chandigarh(grain/fruit),mango,25-08-2024,20,70,40
Chandigarh,chandigarh ,chandigarh (grain/fruit),tomato,25-08-2024,8,32,20
Chattisgarh,durg,durg,onion,25-08-2024,40,45,40
Chattisgarh,durg,durg,potato,25-08-2024,26,45,27
Chattisgarh,durg,durg,ginger,25-08-2024,100,120,120
Chattisgarh,rajnandgaon,rajnandgaon,apple,25-08-2024,210,270,240
Chattisgarh,bilaspur,tiphra,peas wet,25-08-2024,26,28,27
Chattisgarh,bilaspur,tiphra,mango,25-08-2024,75,80,78
Chattisgarh,raigarh,raigarh,tomato,25-08-2024,25,35,27.5
Goa,north  goa,mapusa,onion,25-08-2024,22,27,25
Goa,north goa,mapusa,potato,25-08-2024,22,27,25
Goa,north goa,mapusa,apple,25-08-2024,100,100,100
Goa,north goa,mapusa,mango,25-08-2024,20,30,25
Gujarat,morbi,morbi,onion,25-08-2024,2.51,47,3.64
Gujarat,navsari,bilimora,potato,25-08-2024,25.1,47,36.4
Gujarat,surat,surat,ginger,25-08-2024,30,90,60
Gujarat,bharuch,bharuch,apple,25-08-2024,40,90,75
Gujarat,ahmedabad,ahmedabad,peas wet,25-08-2024,50,100,80
Gujarat,surat,mahuva,mango,25-08-2024,12.5,17.5,15
Gujarat,kheda,nadiad,tomato,25-08-2024,20,35,22.5
Haryana,palwal,palwal,onion,25-08-2024,15,25,20
Haryana,ambala,shahzadpur,potato,25-08-2024,15,25,20
Haryana,sonipat,sonepat,ginger,25-08-2024,100,120,100
Haryana,panipat,samalkha,apple,25-08-2024,30,30,30
Haryana,panchkula,raipur rai,peas wet,25-08-2024,36,40,36
Haryana,gurgaon,gurgaon,mango,25-08-2024,40,60,50
Haryana,gurgaon,gurgaon,tomato,25-08-2024,20,30,25
Himachal Pradesh,una,santoshgrah,onion,25-08-2024,40,50,43
Himachal Pradesh,mandi,dhanotu(mandi),potato,25-08-2024,40,50,43
Himachal Pradesh,kangra,kangra,ginger,25-08-2024,130,140,135
Himachal Pradesh,kangra,kangra,apple,25-08-2024,60,120,75
Himachal Pradesh,kangra,polampur,peas wet,25-08-2024,50,100,80
Himachal Pradesh,una,una,mango,25-08-2024,50,110,85
Himachal Pradesh,hamirpur,hamirpur,tomato,25-08-2024,42,35,38
Jammu and Kashmir,jammu ,batote,onion,25-08-2024,43,50,44
Jammu and Kashmir,jammu,batote,potato,25-08-2024,43,50,44
Jammu and Kashmir,srinagar,parimpore,ginger,25-08-2024,120,140,130
Jammu and Kashmir,jammu,narwal jammu,apple,25-08-2024,80,100,90
Jammu and Kashmir,srinagar,parimpore,peas wet,25-08-2024,80,90,85
Jammu and Kashmir,kathua,kathua,mango,25-08-2024,55,50,52.5
